Sample	t	A1	B1	E1	W1	D1	F1	G1	J1	M1
0	1.1	50000.0	1.0	1.0	1000000.0	100.0	1.0	1.0	1.0	1.0
0	32.67297297297339	45753.293047779836	2953.151202586714	2749.922077170045	1128471.376791609	347175.8046257241	3053.2139894367792	19466.491473914823	98071.23940267404	150520.5577093038
0	34.635135135135606	44957.43262900066	3549.915847801571	2924.5336619619125	1147719.7594409978	395830.54076664	3697.096753689239	20758.91190380743	105035.71547551262	160321.5615764453
0	36.59729729729782	44076.80219534611	4204.551991419323	3105.3439420206146	1168368.0729887693	447554.3947111129	4415.044417679284	22092.910355876444	112185.22172594933	170408.99310687772
0	38.55945945946004	43111.070566104616	4915.1490515778305	3293.5586708476735	1190457.310361464	502396.9086507426	5208.889426297589	23478.263087688563	119567.2202915143	180852.22775045226
0	40.52162162162225	42060.76792937655	5679.024867439786	3490.48525842408	1214039.385788486	560434.9651259232	6080.15563058151	24924.930609609797	127232.5320381337	191724.72839319028
0	42.48378378378447	40927.290915408485	6492.74666888135	3697.557055318879	1239177.1819858304	621773.6382605052	7030.07713990063	26443.353368249627	135235.31111426585	203104.41860037946
0	44.44594594594668	39712.90346640087	7352.155385490265	3916.362316154194	1265944.9058779895	686547.0894987726	8059.614037885349	28044.83037187957	143633.9381095048	215075.2810793423
0	46.4081081081089	38420.732759392886	8252.393897868264	4148.67899124622	1294428.8706452388	754920.0782483275	9169.465553479744	29741.89728175868	152492.38318505656	227729.51839119886
0	48.370270270271114	37054.75895727438	9187.940284430559	4396.5168831117135	1324728.7005173343	827090.2808687282	10360.081867410208	31548.695759889895	161881.8255801507	241170.002540569
0	50.33243243243333	35619.79767770891	10152.646980673087	4662.169153196605	1356958.9339612434	903291.4563301838	11631.67573315523	33481.360143012746	171882.49131843308	255513.00067179638
0	52.294594594595544	34121.47437445726	11139.786450979425	4948.275742816764	1391251.0270704494	983797.4791925758	12984.23489395426	35558.458057744254	182585.77553781235	270891.30576331285
0	54.25675675675776	32566.190117566915	12142.10367533621	5257.902053235033	1427755.79968739	1068927.3084946156	14417.536087064078	37801.52276798669	194096.77186557945	287457.9706161248
0	56.218918918919975	30961.07847441888	13151.875535811903	5594.63729933874	1466646.4082664931	1159051.032031967	15931.161314639921	40235.71567662415	206537.36572180016	305390.8855338988
0	58.18108108108219	29313.953338293457	14160.977042888731	5962.7184255494785	1508121.9695391017	1254597.201917609	17524.51703048916	42890.66184984126	220050.08251744814	324898.48656201526
0	60.143243243244406	27633.247652463677	15160.954241144353	6367.187517831192	1552412.001235545	1356061.7577692273	19196.856923394662	45801.51158948377	234802.9296532341	346226.95185665705
